0,1
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1607"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2015-09-18 09:51:40"") OR ([ds6w:modified]>""2024-05-17 10:54:58"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:1607"" that were created before September 18, 2015, 9:51:40 AM or after May 17, 2024, 10:54:58 AM."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:N5Prq-ExSieJRPhzMzeRTQ"")",Find the resource with the given UID.
"([ds6w:type]: ""swym:Idea"") AND (community_id: ""KMAdf-QETa6kPy2ZW7ARnw"")",Find ideas with community ID KMAdf-QETa6kPy2ZW7ARnw.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1474"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-06-19 13:47:40"") OR ([ds6w:modified]>""2022-12-16 15:06:20"")))","Find all posts, ideas, or questions in the community 1474, created between 2019-06-19 13:47:40 and 2022-12-16 15:06:20, or modified before 2019-06-19 13:47:40 or after 2022-12-16 15:06:20, and contained in the container with UID swym:215dsi0708:DSEXT001:community:1474."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:460"")",Find the resource with the given UID.
"[ds6w:resourceUid]:(""iam:bdq"")",Find resources with resource UID iam:bdq.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:d8NcHyRSSdyOebbtfPBEqg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-05-14 04:07:57"") OR ([ds6w:modified]>""2024-05-10 11:51:38"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:d8NcHyRSSdyOebbtfPBEqg"" that were modified before May 14, 2019, or after May 10, 2024."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:Ll3pN17FQa23Eje-3HZdGA"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:teTKPGBZTKuGCDtpad5WMQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-01-08 15:35:54"") OR ([ds6w:modified]>""2021-12-06 20:56:32"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:teTKPGBZTKuGCDtpad5WMQ"" that were modified before January 8, 2020, 15:35:54 or after December 6, 2021, 20:56:32."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:1071"")",Find the resource with the given UID.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:gN9f8z9iQvOGdgK5rR06jQ"")",Find the resource with the given UID.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:Vf99OBmXSxeUbFjmu5el0Q"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:AhXckvSBQgqvfikegKL9sQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-08-26 10:49:24"") OR ([ds6w:modified]>""2024-05-17 09:22:45"")))","Find all posts, ideas, or questions in the community AhXckvSBQgqvfikegKL9sQ, created between August 26, 2020, and May 17, 2024."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:Am2DaYtdQ8O3iF56OpnbSw"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:HgDUFaVmS16ui64cBSgooA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-03-29 15:35:55"") OR ([ds6w:modified]>""2024-05-17 16:46:40"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:HgDUFaVmS16ui64cBSgooA"" that were modified before March 29, 2022, 15:35:55 or after May 17, 2024, 16:46:40."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:cASiGvY0QWCzXDnboPpKfw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-08-10 02:09:07"") OR ([ds6w:modified]>""2024-05-15 19:30:07"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:cASiGvY0QWCzXDnboPpKfw"" that were modified before August 10, 2022, or after May 15, 2024."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:04SzWQKrQHiCtBn-QqNKjg"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:_-n3aDeRReSbBjvs3AlhSg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-04-01 15:25:37"") OR ([ds6w:modified]>""2020-04-27 15:58:21"")))","Find all posts, ideas, or questions in the community ""_-n3aDeRReSbBjvs3AlhSg"" that were created before April 1, 2019, or after April 27, 2020."
[ds6w:label]:Backend (3ds.com),"Find documents labeled as ""Backend (3ds.com)""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:VPS5HNFAQeOlqy5BYbmFDw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-10-17 08:43:07"") OR ([ds6w:modified]>""2023-04-24 01:57:49"")))","Find all posts, ideas, or questions in the community VPS5HNFAQeOlqy5BYbmFDw that were modified between October 17, 2019, and April 24, 2023."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:748B1cKgQiioWCuk0zOFhA"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:ygIjPs3gSSqY8FVRjrjtcA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-07-04 12:23:33"") OR ([ds6w:modified]>""2024-04-23 09:27:08"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:ygIjPs3gSSqY8FVRjrjtcA"" that were modified before July 4, 2023, or after April 23, 2024."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:fNQFcQzHSTGP7w_tywORsA"")",Find the resource with the given UID.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:2477"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:6_2RIRr_RLWDlfgnxylQtA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-06-04 13:05:17"") OR ([ds6w:modified]>""2024-05-16 12:19:02"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:6_2RIRr_RLWDlfgnxylQtA"" that were modified before June 4, 2020, 13:05:17 or after May 16, 2024, 12:19:02."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:224"")",Find the resource with the given UID.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:ZRnJJV_sSbu8-Y5FrnHfUQ"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:PR5ZSqdaTwyZGvmFXd80pg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-01-29 15:24:15"") OR ([ds6w:modified]>""2024-04-19 08:02:08"")))","Find all posts, ideas, or questions in the community PR5ZSqdaTwyZGvmFXd80pg that were modified between January 29, 2019, and April 19, 2024."
"[ds6w:resourceUid]:(""80163ad3-50cb-476a-82e6-5471f9d56430"" BOR ""e8e0077f-d1ad-4478-86bd-beed7796527d"" BOR ""24db89e4-0362-437c-a31b-060c5e558034"" BOR ""07b48edd-ab6a-474d-9749-680ea788838e"" BOR ""7a5186c7-3948-4bb7-b1a5-7109c4ce3179"")","Find resources with resource UIDs 80163ad3-50cb-476a-82e6-5471f9d56430, e8e0077f-d1ad-4478-86bd-beed7796527d, 24db89e4-0362-437c-a31b-060c5e558034, 07b48edd-ab6a-474d-9749-680ea788838e, or 7a5186c7-3948-4bb7-b1a5-7109c4ce3179."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:1341"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:QksVvynPSQOe97PbKUC4UA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-08-08 08:57:25"") OR ([ds6w:modified]>""2024-05-17 14:24:39"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:QksVvynPSQOe97PbKUC4UA"" that were modified before August 8, 2023, or after May 17, 2024."
"([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:8IUPSWV6Sbi8o3-W64UkTw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1)))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:8IUPSWV6Sbi8o3-W64UkTw"" with visibility set to 1."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:rxgoE3RdQ3yxEzbj4RkD_w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2024-03-12 08:36:41"") OR ([ds6w:modified]>""2024-04-26 16:30:05"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:rxgoE3RdQ3yxEzbj4RkD_w"" that were modified before March 12, 2024, 8:36:41 AM or after April 26, 2024, 4:30:05 PM."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1211"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2013-12-10 20:10:09"") OR ([ds6w:modified]>""2017-11-29 08:07:59"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:1211"" that were created before December 10, 2013, 8:10:09 PM or after November 29, 2017, 8:07:59 AM."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:jhwNaoA2SSOnWFSlYLIBQw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-01-19 15:00:13"") OR ([ds6w:modified]>""2024-05-16 07:48:15"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:jhwNaoA2SSOnWFSlYLIBQw"" that were modified before January 19, 2021, 3:00 PM or after May 16, 2024, 7:48 AM."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:bRZ1KIKkT6e37SEQiwI2YA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-05-12 06:21:43"") OR ([ds6w:modified]>""2024-05-20 08:39:50"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:bRZ1KIKkT6e37SEQiwI2YA"" that were modified before May 12, 2022, or after May 20, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2184"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2017-03-15 13:27:52"") OR ([ds6w:modified]>""2024-05-20 07:15:29"")))","Find all posts, ideas, or questions in the community with container UID ""swym:215dsi0708:DSEXT001:community:2184"" that were modified before March 15, 2017, or after May 20, 2024."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:juvUAgtESc6u_VTFUAdSAw"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:mku6TLn8RcS34n54xl0kEA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-02-02 09:54:57"") OR ([ds6w:modified]>""2022-11-30 09:01:37"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:mku6TLn8RcS34n54xl0kEA"" that were modified before February 2, 2021, 9:54:57 AM or after November 30, 2022, 9:01:37 AM."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:AGhiBlx7Q86alsJ-_IpR1Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-07-09 09:08:54"") OR ([ds6w:modified]>""2022-06-30 13:45:26"")))","Find all posts, ideas, or questions in the community AGhiBlx7Q86alsJ-_IpR1Q, created between July 9, 2021, and June 30, 2022."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:csk93CizRIiwRSf-i4ybUQ"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:IG1bLKdvS9G9Z9VupDoFqg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-05-26 02:56:24"") OR ([ds6w:modified]>""2024-04-09 00:50:19"")))","Find all posts, ideas, or questions from the community ""swym:215dsi0708:DSEXT001:community:IG1bLKdvS9G9Z9VupDoFqg"" that were modified before May 26, 2023, or after April 9, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:solRM_e0QBGzosPiIEQgog"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-03-22 17:00:57"") OR ([ds6w:modified]>""2024-04-27 11:37:00"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:solRM_e0QBGzosPiIEQgog"" that were modified before March 22, 2022, 5:00 PM or after April 27, 2024, 11:37 AM."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:5fQ33a6ST8eJorbY17jVTw"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:3Isl6PMmR2G7-vn0PlGeCQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-11-18 13:52:03"") OR ([ds6w:modified]>""2024-05-16 11:48:13"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:3Isl6PMmR2G7-vn0PlGeCQ"" that were modified before November 18, 2022, 13:52:03 or after May 16, 2024, 11:48:13."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:298"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2010-09-15 18:32:26"") OR ([ds6w:modified]>""2023-07-26 08:46:02"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:298"" that were created before September 15, 2010, 18:32:26 or after July 26, 2023, 08:46:02."
"[ds6w:resourceUid]:(""iam:kop"")",Find resources with resource UID iam:kop.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:e5VGoSwLS2-8IH-N1qehKw"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:NpM54wQHRuSLGm8pIigbxg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-10-14 11:50:24"") OR ([ds6w:modified]>""2022-11-10 21:36:09"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:NpM54wQHRuSLGm8pIigbxg"" that were modified between October 14, 2022, 11:50:24 and November 10, 2022, 21:36:09."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:PeGRzuMFRvGSpyPt4mImTA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-06-10 14:10:37"") OR ([ds6w:modified]>""2024-05-16 13:17:59"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:PeGRzuMFRvGSpyPt4mImTA"" that were modified before June 10, 2022, 14:10:37 or after May 16, 2024, 13:17:59."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:44UjAL1_Se2yBBAykOA4mQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-11-20 17:34:23"") OR ([ds6w:modified]>""2021-04-30 17:29:57"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:44UjAL1_Se2yBBAykOA4mQ"" that were created before November 20, 2019, 17:34:23 or after April 30, 2021, 17:29:57."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:RYkcf8CnStGAJNx3KccA1w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-05-13 05:11:43"") OR ([ds6w:modified]>""2024-05-20 09:43:43"")))","Find all posts, ideas, or questions in the community RYkcf8CnStGAJNx3KccA1w, created between May 13th, 2019, and May 20th, 2024."
[ds6w:resourceUid]:(235f47f2-9a99-43cf-a796-42aa98c0e03e OR 1ee644c2-971f-49a5-9bda-e6e095d5221c),Find resources with resource UIDs 235f47f2-9a99-43cf-a796-42aa98c0e03e or 1ee644c2-971f-49a5-9bda-e6e095d5221c.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:490"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2011-11-09 22:42:55"") OR ([ds6w:modified]>""2024-05-16 18:00:06"")))","Find all posts, ideas, or questions in the community 490, created before November 9, 2011, 22:42:55, or after May 16, 2024, 18:00:06."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:l5q4lmGDQzmj4CX6tCm-EQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-04-21 14:53:17"") OR ([ds6w:modified]>""2021-05-12 08:17:16"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:l5q4lmGDQzmj4CX6tCm-EQ"" that were modified before April 21, 2021, 14:53:17 or after May 12, 2021, 08:17:16."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:tmP2IOZZS3exK2gJEwaD3Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-12-20 15:28:16"") OR ([ds6w:modified]>""2020-06-03 13:11:24"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:tmP2IOZZS3exK2gJEwaD3Q"" that were modified between December 20, 2018, 15:28:16 and June 3, 2020, 13:11:24."
[ds6w:label]:Meetin*,"Find documents or entities with a label starting with ""Meetin""."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:4z39qJYETP--TtdvRsxIsw"")",Find the resource with the given UID.
"[ds6w:resourceUid]:""FEEF6C4FCC942A006628C705000224FE""",Find the resource with the UID FEEF6C4FCC942A006628C705000224FE.
"[ds6w:resourceUid]:(""d09763db-1c73-44ec-bf89-83e0d221449f"" BOR ""e998eaee-8018-4e50-8076-eb6e86c39f99"" BOR ""8b0f01b6-95e4-4fe7-b1dc-eb7b535ce7ce"" BOR ""347c174d-f62a-4822-b0fd-6fcd3da45d61"" BOR ""d85a5438-cf25-4cd3-8e92-4e82475dc66c"")","Find resources with resource UIDs d09763db-1c73-44ec-bf89-83e0d221449f, e998eaee-8018-4e50-8076-eb6e86c39f99, 8b0f01b6-95e4-4fe7-b1dc-eb7b535ce7ce, 347c174d-f62a-4822-b0fd-6fcd3da45d61, or d85a5438-cf25-4cd3-8e92-4e82475dc66c."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2DiKZgtWR4aSVAtqKviPXg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-10-21 09:53:46"") OR ([ds6w:modified]>""2020-11-02 15:13:29"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:2DiKZgtWR4aSVAtqKviPXg"" created before October 21, 2019, 09:53:46 or after November 2, 2020, 15:13:29."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2467"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-04-18 15:58:25"") OR ([ds6w:modified]>""2024-05-17 10:23:14"")))","Find all posts, ideas, or questions in the community 2467, created between April 18, 2018, and May 17, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:233"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2010-05-27 11:26:51"") OR ([ds6w:modified]>""2024-05-20 16:22:54"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:233"" that were created before May 27, 2010, 11:26:51 AM or after May 20, 2024, 4:22:54 PM."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:arjb7SHARH-qRPPlfWYLkw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-05-10 13:50:27"") OR ([ds6w:modified]>""2024-04-19 12:37:52"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:arjb7SHARH-qRPPlfWYLkw"" that were modified before May 10, 2023, or after April 19, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:e8xZZ-XcRa6l1YiqxJVLcw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-03-09 16:14:37"") OR ([ds6w:modified]>""2024-05-20 21:41:00"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:e8xZZ-XcRa6l1YiqxJVLcw"" that were modified before March 9, 2022, or after May 20, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:pnbKrDVdTi64SxkmNYFsGw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-04-24 10:10:34"") OR ([ds6w:modified]>""2024-05-20 11:15:07"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:pnbKrDVdTi64SxkmNYFsGw"" that were modified before April 24, 2018, 10:10:34 or after May 20, 2024, 11:15:07."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:o3f0GB3USW-0nb814-K7zQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-06-08 16:03:00"") OR ([ds6w:modified]>""2024-05-14 22:28:29"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:o3f0GB3USW-0nb814-K7zQ"" that were modified before June 8, 2021, or after May 14, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:8dGMg38-SbS-hH1boElvoQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-01-29 20:07:27"") OR ([ds6w:modified]>""2023-01-11 17:26:15"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:8dGMg38-SbS-hH1boElvoQ"" that were created before January 29, 2018, or after January 11, 2023."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:gDoib8J1Sue3MrE4zYV1Jg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-06-04 15:02:17"") OR ([ds6w:modified]>""2024-05-16 07:19:02"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:gDoib8J1Sue3MrE4zYV1Jg"" created before June 4, 2018, or after May 16, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:oDSXCCaRSp2J-QWK_hge8w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-02-18 12:38:21"") OR ([ds6w:modified]>""2024-05-15 08:07:14"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:oDSXCCaRSp2J-QWK_hge8w"" that were modified before February 18, 2019, or after May 15, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:203"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2010-02-23 18:01:36"") OR ([ds6w:modified]>""2024-05-16 12:47:25"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:203"" that were created before February 23, 2010, 18:01:36 or after May 16, 2024, 12:47:25."
[ds6w:resourceUid]:(5632fb96-9d69-48b8-b3a9-9f3791d157c5),Find the resource with the UID 5632fb96-9d69-48b8-b3a9-9f3791d157c5.
